Size,Traditional,Divide & Conquer, Strassen
256x256,13857505,1803707350,673154310
2x2,235,590,290
4x4,320,6380,4690
8x8,770,53905,38045
16x16,3655,438810,274795
32x32,22955,3542625,1951815
64x64,169350,28200745,13699790
128x128,1354120,224662835,95995820
256x256,13629420,1803871945,673477425
2x2,220,545,315
4x4,310,6340,4730
8x8,770,54115,38260
16x16,3620,435805,275685
32x32,22825,3518000,1943055
64x64,169210,28206240,13714870
128x128,1359300,224498065,95895685
256x256,13882100,1804126160,673323465
2x2,215,605,295
4x4,325,6380,4670
8x8,765,54150,37910
16x16,3685,441200,276390
32x32,22950,3534315,1937865
64x64,169915,28205310,13739645
128x128,1354990,224662205,95933250
256x256,13469960,1803703425,673400835
2x2,220,605,295
4x4,310,6415,4945
8x8,770,53985,37945
16x16,3795,440705,275005
32x32,22860,3533255,1981295
64x64,170090,28214495,13641745
128x128,1358045,224644125,95974350
256x256,12943070,1803769880,674806190
2x2,200,565,315
4x4,310,6630,4740
8x8,770,54355,38695
16x16,3635,440890,276365
32x32,22745,3526735,1951265
64x64,170165,28189980,13789870
128x128,1344145,224353755,95916145
256x256,13205020,1803433160,673294025
2x2,220,545,405
4x4,300,6370,4720
8x8,770,53840,37590
16x16,3630,440265,276470
32x32,22870,3551945,1943305
64x64,168875,28184475,13659670
128x128,1371330,224513420,96064610
256x256,13786905,1806318330,673773255
2x2,210,1430,350
4x4,465,6405,4620
8x8,735,54035,38175
16x16,3550,434080,273095
32x32,23130,3486200,1960250
64x64,169290,29286680,13678240
128x128,1338070,229260675,96008405
256x256,13807820,1813571585,673851000
2x2,170,520,175
4x4,275,6440,4610
8x8,740,54245,37605
16x16,4065,436650,275220
32x32,22780,3535645,1947800
64x64,169025,29258030,13767240
128x128,1347415,229545490,96197065
256x256,13830215,1812058795,673572370
2x2,170,515,190
4x4,280,6330,4975
8x8,745,53975,38410
16x16,3615,438535,276980
32x32,22690,3510015,1970555
64x64,168790,29263365,13685850
128x128,1340095,229569795,95990590
256x256,13719730,1812099745,680043910
2x2,175,535,185
4x4,290,6385,4640
8x8,750,54060,38225
16x16,3660,478500,343440
32x32,23590,3637830,1973325
64x64,170245,29818720,13860935
128x128,1370715,237167920,98347220
256x256,13943705,1841837220,689204545
2x2,170,525,190
4x4,290,6300,4630
8x8,735,53855,37780
16x16,3605,440170,276200
32x32,23100,3572825,1971340
64x64,172885,29923860,13887820
128x128,1380975,242914320,106356640
256x256,17403080,1850096910,674150365
2x2,190,545,185
4x4,290,6455,4680
8x8,760,53755,37720
16x16,3590,437730,276785
32x32,22820,3503905,1956940
64x64,169300,29284035,13654725
128x128,1354650,229731735,95946145
256x256,13996355,1813098455,674351305
2x2,170,520,170
4x4,265,6340,4635
8x8,740,53790,38035
16x16,3600,438120,275230
32x32,22705,3512835,1968490
64x64,169210,29251130,13697100
